127.0.0.1 - - [02/Sep/2021:13:07:51 +0530] "GET / HTTP/1.1" 200 11369
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:08:28 +0530] "GET / HTTP/1.1" 200 11369
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:08:28 +0530] "GET /tomcat.css HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:08:28 +0530] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:08:28 +0530] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:08:28 +0530] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:08:28 +0530] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:08:28 +0530] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:08:28 +0530] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:08:31 +0530] "GET /manager/html HTTP/1.1" 401 2562
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:08:35 +0530] "GET /manager/html HTTP/1.1" 401 2562
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:08:37 +0530] "GET /manager/html HTTP/1.1" 401 2562
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:08:58 +0530] "GET /manager/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:08:58 +0530] "GET /manager/html HTTP/1.1" 401 2562
0:0:0:0:0:0:0:1 - tomcat [02/Sep/2021:13:09:02 +0530] "GET /manager/html HTTP/1.1" 200 26735
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:02 +0530] "GET /manager/images/asf-logo.svg HTTP/1.1" 200 20712
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:02 +0530] "GET /manager/images/tomcat.gif HTTP/1.1" 200 2066
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:10 +0530] "GET /struts-documentation/ HTTP/1.1" 200 11175
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:10 +0530] "GET /struts-documentation/struts.css HTTP/1.1" 200 2962
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:10 +0530] "GET /struts-documentation/images/asf_logo_wide.gif HTTP/1.1" 200 5866
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:10 +0530] "GET /struts-documentation/images/struts.gif HTTP/1.1" 200 4720
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:10 +0530] "GET /struts-documentation/images/struts-power.gif HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:19 +0530] "GET /tiles-documentation/images/jakarta-logo.gif HTTP/1.1" 200 8006
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:19 +0530] "GET /tiles-documentation/images/struts.gif HTTP/1.1" 200 6879
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:21 +0530] "GET /tiles-documentation/ HTTP/1.1" 200 27387
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:21 +0530] "GET /tiles-documentation/images/struts-power.gif;jsessionid=44A45426F2FDB843C9AC0C1E2B78D71B HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:28 +0530] "GET /struts-mailreader/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:28 +0530] "GET /struts-mailreader/Welcome.do;jsessionid=1343F4E160977F2C038E88388BCD041F HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:28 +0530] "GET /struts-mailreader/base.css HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:28 +0530] "GET /struts-mailreader/struts-power.gif HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:34 +0530] "GET /struts-mailreader/Logon.do HTTP/1.1" 200 2436
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:34 +0530] "GET /struts-mailreader/staticJavascript.jsp HTTP/1.1" 200 24510
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:41 +0530] "POST /struts-mailreader/SubmitLogon.do HTTP/1.1" 200 2626
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:41 +0530] "GET /struts-mailreader/staticJavascript.jsp HTTP/1.1" 200 24510
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:44 +0530] "GET /struts-mailreader/Welcome.do HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:47 +0530] "GET /struts-mailreader/EditRegistration.do?action=Create HTTP/1.1" 200 3542
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:47 +0530] "GET /struts-mailreader/staticJavascript.jsp HTTP/1.1" 200 24510
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:50 +0530] "POST /struts-mailreader/SaveRegistration.do HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:09:50 +0530] "GET /struts-mailreader/staticJavascript.jsp HTTP/1.1" 200 24510
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:10:03 +0530] "GET /manager/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - tomcat [02/Sep/2021:13:10:03 +0530] "GET /manager/html HTTP/1.1" 200 24528
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:10:08 +0530] "GET /struts-examples/ HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:10:21 +0530] "GET /struts-blank HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:10:22 +0530] "GET /struts-blank/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:10:22 +0530] "GET /struts-blank/Welcome.do;jsessionid=6F63EB332D052F0C6FF48B5104056332 HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - tomcat [02/Sep/2021:13:11:20 +0530] "GET /manager/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - tomcat [02/Sep/2021:13:11:20 +0530] "GET /manager/html HTTP/1.1" 200 24528
0:0:0:0:0:0:0:1 - tomcat [02/Sep/2021:13:11:20 +0530] "GET /manager/html HTTP/1.1" 200 24528
0:0:0:0:0:0:0:1 - tomcat [02/Sep/2021:13:11:20 +0530] "GET /manager/images/asf-logo.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - tomcat [02/Sep/2021:13:11:20 +0530] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - tomcat [02/Sep/2021:13:11:28 +0530] "POST /manager/html/undeploy?path=/tiles-documentation&org.apache.catalina.filters.CSRF_NONCE=686726826C168A829B4D0A33E5BD6423 HTTP/1.1" 200 22754
0:0:0:0:0:0:0:1 - tomcat [02/Sep/2021:13:11:34 +0530] "POST /manager/html/reload?path=/struts-mailreader&org.apache.catalina.filters.CSRF_NONCE=C1FC646EE9A0234B1A2D6F0B741812DA HTTP/1.1" 200 22750
0:0:0:0:0:0:0:1 - tomcat [02/Sep/2021:13:13:28 +0530] "POST /manager/html/reload?path=/struts-mailreader&org.apache.catalina.filters.CSRF_NONCE=C1FC646EE9A0234B1A2D6F0B741812DA HTTP/1.1" 200 17905
0:0:0:0:0:0:0:1 - tomcat [02/Sep/2021:13:13:28 +0530] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - tomcat [02/Sep/2021:13:13:28 +0530] "GET /manager/images/asf-logo.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - tomcat [02/Sep/2021:13:13:32 +0530] "GET /manager/html/list?org.apache.catalina.filters.CSRF_NONCE=3A542A22BD21039D696162FC6857F916 HTTP/1.1" 200 17855
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:14:19 +0530] "GET /struts-documentation/userGuide/index.html HTTP/1.1" 200 16041
